start,end,count,missing,type,,,,,,,
2001-11-27,2001-12-02,6,0,MAX_TEMPERATURE,,,,,,,
2016-12-11,2016-12-16,6,0,MAX_TEMPERATURE,,,,,,,
2011-01-13,2011-01-18,6,0,MAX_TEMPERATURE,,,,,,,
2007-02-20,2007-02-25,6,0,MAX_TEMPERATURE,,,,,,,
1962-01-24,1962-01-29,6,0,MAX_TEMPERATURE,,,,,,,
1979-12-12,1979-12-17,6,0,MAX_TEMPERATURE,,,,,,,
1970-12-01,1970-12-06,6,0,MAX_TEMPERATURE,,,,,,,
1957-01-07,1957-01-12,6,0,MAX_TEMPERATURE,,,,,,,
1958-12-04,1958-12-09,6,0,MAX_TEMPERATURE,,,,,,,
2012-11-08,2012-11-13,6,6,MAX_TEMPERATURE,,,,,,,
1993-01-22,1993-01-27,6,3,MAX_TEMPERATURE,,,,,,,
1989-01-18,1989-01-23,6,0,MAX_TEMPERATURE,,,,,,,
1993-05-22,1993-05-27,6,6,MAX_TEMPERATURE,,,,,,,
1995-01-04,1995-01-09,6,0,MAX_TEMPERATURE,,,,,,,
1993-01-31,1993-02-05,6,4,MAX_TEMPERATURE,,,,,,,
1994-01-07,1994-01-12,6,0,MAX_TEMPERATURE,,,,,,,
1996-11-18,1996-11-23,6,0,MAX_TEMPERATURE,,,,,,,
1950-11-24,1950-11-28,5,0,MAX_TEMPERATURE,,,,,,,
1980-12-08,1980-12-12,5,0,MAX_TEMPERATURE,,,,,,,
1980-01-01,1980-01-05,5,0,MAX_TEMPERATURE,,,,,,,
1980-01-10,1980-01-14,5,0,MAX_TEMPERATURE,,,,,,,
1975-02-10,1975-02-14,5,0,MAX_TEMPERATURE,,,,,,,
1973-11-30,1973-12-04,5,0,MAX_TEMPERATURE,,,,,,,
1971-12-10,1971-12-14,5,0,MAX_TEMPERATURE,,,,,,,
1973-11-14,1973-11-18,5,0,MAX_TEMPERATURE,,,,,,,
1969-02-02,1969-02-06,5,0,MAX_TEMPERATURE,,,,,,,
1970-12-29,1971-01-02,5,0,MAX_TEMPERATURE,,,,,,,
1967-12-21,1967-12-25,5,0,MAX_TEMPERATURE,,,,,,,
1968-01-31,1968-02-04,5,0,MAX_TEMPERATURE,,,,,,,
1956-02-19,1956-02-23,5,0,MAX_TEMPERATURE,,,,,,,
1957-01-22,1957-01-26,5,0,MAX_TEMPERATURE,,,,,,,
1965-12-23,1965-12-27,5,0,MAX_TEMPERATURE,,,,,,,
1964-01-21,1964-01-25,5,0,MAX_TEMPERATURE,,,,,,,
1951-12-15,1951-12-19,5,0,MAX_TEMPERATURE,,,,,,,
1955-12-10,1955-12-14,5,0,MAX_TEMPERATURE,,,,,,,
1954-01-25,1954-01-29,5,0,MAX_TEMPERATURE,,,,,,,
1975-02-01,1975-02-05,5,0,MAX_TEMPERATURE,,,,,,,
1997-01-23,1997-01-27,5,0,MAX_TEMPERATURE,,,,,,,
1984-12-26,1984-12-30,5,0,MAX_TEMPERATURE,,,,,,,
1990-01-01,1990-01-05,5,0,MAX_TEMPERATURE,,,,,,,
1990-11-09,1990-11-13,5,0,MAX_TEMPERATURE,,,,,,,
1983-12-26,1983-12-30,5,0,MAX_TEMPERATURE,,,,,,,
1996-12-21,1996-12-25,5,0,MAX_TEMPERATURE,,,,,,,
1994-02-17,1994-02-21,5,0,MAX_TEMPERATURE,,,,,,,
1992-12-27,1992-12-31,5,2,MAX_TEMPERATURE,,,,,,,
1985-02-09,1985-02-13,5,0,MAX_TEMPERATURE,,,,,,,
2001-12-15,2001-12-19,5,0,MAX_TEMPERATURE,,,,,,,
1999-01-05,1999-01-09,5,0,MAX_TEMPERATURE,,,,,,,
2019-01-06,2019-01-10,5,0,MAX_TEMPERATURE,,,,,,,
2004-08-10,2004-10-03,55,55,MIN_TEMPERATURE,,,,,,,
1971-01-09,1971-01-31,23,0,MIN_TEMPERATURE,,,,,,,
1972-02-16,1972-03-09,23,22,MIN_TEMPERATURE,,,,,,,
2007-04-08,2007-04-30,23,23,MIN_TEMPERATURE,,,,,,,
1969-01-06,1969-01-23,18,0,MIN_TEMPERATURE,,,,,,,
1965-12-30,1966-01-16,18,0,MIN_TEMPERATURE,,,,,,,
1996-01-12,1996-01-29,18,0,MIN_TEMPERATURE,,,,,,,
1964-12-27,1965-01-11,16,0,MIN_TEMPERATURE,,,,,,,
1975-12-01,1975-12-15,15,0,MIN_TEMPERATURE,,,,,,,
1982-01-14,1982-01-28,15,0,MIN_TEMPERATURE,,,,,,,
1979-01-01,1979-01-14,14,0,MIN_TEMPERATURE,,,,,,,
1975-01-03,1975-01-15,13,0,MIN_TEMPERATURE,,,,,,,
1981-12-28,1982-01-09,13,0,MIN_TEMPERATURE,,,,,,,
1980-12-17,1980-12-29,13,0,MIN_TEMPERATURE,,,,,,,
1959-01-01,1959-01-12,12,0,MIN_TEMPERATURE,,,,,,,
2008-12-30,2009-01-10,12,0,MIN_TEMPERATURE,,,,,,,
1972-01-17,1972-01-27,11,0,MIN_TEMPERATURE,,,,,,,
2025-12-16,2025-12-26,11,0,MIN_TEMPERATURE,,,,,,,
1963-11-17,1963-11-26,10,0,MIN_TEMPERATURE,,,,,,,
1956-12-09,1956-12-18,10,0,MIN_TEMPERATURE,,,,,,,
1961-12-18,1961-12-27,10,0,MIN_TEMPERATURE,,,,,,,
2015-02-01,2015-02-10,10,0,MIN_TEMPERATURE,,,,,,,
